,Sales
0,5192.333333333333
1,7662.0
2,13882.0
3,6218.0
4,18308.0
5,3873.0
6,11087.0
7,22270.0
8,11087.0
9,8625.0
10,8907.0
11,4174.0
12,4667.0
13,9663.0
14,4804.0
15,14221.0
16,5830.0
17,10262.0
18,13355.0
19,12898.0
20,19495.0
21,4943.0
22,3943.0
23,4823.0
24,8586.0
25,13292.0
26,8238.0
27,7682.0
28,4668.0
29,3687.0
30,3687.0
31,13227.0
32,4423.0
33,10919.0
34,12373.0
35,6442.0
36,4649.0
37,6245.0
38,22270.0
39,14924.0
40,9646.0
41,8714.0
42,12373.0
43,4483.0
44,9972.5
45,3900.0
46,3943.0
47,4667.0
48,6117.0
49,11150.0
50,7202.0
51,12121.0
52,5192.333333333333
53,5406.0
54,4483.0
55,14231.0
56,17135.0
57,6627.0
58,8073.0
59,12395.0
60,8366.0
61,5683.0
62,12524.0
63,7191.0
64,3687.0
65,6442.0
66,5613.0
67,3625.0
68,12646.0
69,6297.0
70,5678.0
71,9134.0
72,10791.0
73,12819.0
74,4862.0
75,9419.0
76,3898.0
77,4049.0
78,10262.0
79,3332.0
80,10844.0
81,4750.0
82,13941.0
83,6442.0
84,10197.0
85,13712.0
86,5636.0
87,13014.0
88,7064.0
89,9663.0
90,11188.0
91,17057.0
92,13817.0
93,13081.0
94,4880.0
95,3540.0
96,3257.0
97,7229.0
98,8040.0
99,14300.0
100,14781.0
101,14676.0
102,10262.0
103,6528.0
104,6121.0
105,13029.0
106,11200.0
107,9100.0
108,11596.0
109,15129.0
110,13555.0
111,5780.0
112,9397.0
113,17024.0
114,5281.0
115,10348.0
116,16352.0
117,15147.0
118,4668.0
119,15554.0
120,3971.0
121,3100.0
122,9663.0
123,27430.0
124,3540.0
125,13007.0
126,13044.0
127,13584.0
128,3943.0
129,3597.0
130,6902.0
131,10262.0
132,6216.0
133,4804.0
134,7038.0
135,15129.0
136,13376.0
137,13007.0
138,4030.0
139,17024.0
140,13017.0
141,6686.0
142,5636.0
143,6442.0
144,9486.0
145,10844.0
146,15318.0
147,5683.0
148,6147.0
149,7005.0
150,3873.0
151,9270.0
152,3398.0
153,14781.0
154,8586.0
155,10697.0
156,14300.0
157,8855.0
158,8586.0
159,15029.0
160,9314.0
161,4238.0
162,7662.0
163,6442.0
164,5264.0
165,12898.0
166,6092.0
167,3311.0
168,6017.0
169,3419.0
170,5406.0
171,8246.0
172,14676.0
173,13587.0
174,9663.0
175,13044.0
176,4744.0
177,9555.0
178,9663.0
179,14067.0
180,10262.0
181,5678.0
182,13727.0
183,9663.0
184,3858.0
185,4812.0
186,5775.0
187,8586.0
188,4804.0
189,3383.0
190,12841.0
191,7165.0
192,6412.0
193,8016.0
194,11087.0
195,4995.0
196,12471.0
197,10262.0
198,4441.0
199,12537.0
200,12173.0
201,6961.0
202,5013.0
203,6934.0
204,10877.0
205,7229.0
206,7048.0
207,4878.0
208,10844.0
209,16704.0
210,4284.0
