,Name,Rating,No. of rating,Price,Return and Exchange,Avaialability,Expected Delivery
0,elegante UV Protected Driving Vintage Pilot Gradient Metal Body Square Sunglasses for Men and Women,8 ratings,3.2 out of 5,₹598.00,30 Days Returns & Exchange,In stock.,"Tuesday, Oct 26"
1,Vincent Chase by Lenskart | Unisex Hexagonal Sunglasses | Polarized & UV Protection | VC S12596/P,19 ratings,3.9 out of 5,"₹1,002.00",10 Days Returns,In stock.,"Sunday, Oct 24"
2,elegante UV Protected Trendy Irregular Vintage Rectangular Sunglasses for Men & Women,2 ratings,5 out of 5,₹448.00,30 Days Returns & Exchange,In stock.,"Tuesday, Oct 26"
3,Vincent Chase by Lenskart | Round Stylish Sunglasses | Polarized & UV Protected | For Men & Women | Medium | VC S13975,"1,328 ratings",4.3 out of 5,"₹1,132.00",10 Days Returns,In stock.,"Monday, Oct 25"
4,elegante Rectanglular Sunglasses for Women Retro Driving Sunlgasses Vintage Fashion Narrow Square Frame UV400 Protection,"9,319 ratings",4 out of 5,₹385.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
5,Fastrack Men Square Sunglasses Black Frame Black Lens (NBP357BK1),"2,332 ratings",3.6 out of 5,₹517.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
6,ELEGANTE Men's Square Sunglasses,"1,171 ratings",3.4 out of 5,₹298.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
7,CREATURE Basic Black Aviator Uv-Protected Unisex Sunglasses(Lens-Jet-Black||Frame-Black||SUN-004),"2,447 ratings",3.6 out of 5,₹229.00,10 Days Returns,In stock.,"Thursday, Oct 28"
8,ROYAL SON Unisex Adult Aviator Sunglasses,600 ratings,4.1 out of 5,₹319.00,10 Days Returns,In stock.,"Thursday, Oct 28"
9,Fastrack UV Protected Square Men's Sunglasses - (P424BK1|53|Grey Color Lens),451 ratings,4.4 out of 5,₹599.00,10 Days Returns,In stock.,"Sunday, Oct 24"
10,NuVew Mirrored Cat eye Sunglasses For Women - (Color Variants Available | Medium),578 ratings,3.8 out of 5,₹399.00,10 Days Returns,In stock.,"Sunday, Oct 24"
11,Royal Son Retro Square Sunglasses For Men,"2,983 ratings",4 out of 5,₹607.00,10 Days Returns,In stock.,"Sunday, Oct 24"
12,Fastrack Men Pilot Sunglasses Black Frame Brown Lens (Product code- P358BK2V),"1,579 ratings",3.9 out of 5,₹339.00,10 Days Returns,In stock.,"Sunday, Oct 24"
13,Dervin Men's & Boy's Square Sunglasses,116 ratings,4.1 out of 5,₹703.00,10 Days Returns,In stock.,"Thursday, Oct 28"
14,Fastrack UV Protected Aviator Men's Sunglasses - (M242GR4T|58|Green Color Lens),8 ratings,3.2 out of 5,₹598.00,10 Days Returns,In stock.,"Friday, Oct 29"
15,elegante UV Protected Driving Vintage Pilot Gradient Metal Body Square Sunglasses for Men and Women,596 ratings,3.2 out of 5,₹295.00,30 Days Returns & Exchange,In stock.,"Tuesday, Oct 26"
16,"Dervin Unisex Aviator and Rectangular Sunglasses (55, Black) - Combo of 3",410 ratings,3.9 out of 5,₹289.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
17,GAINX Retro Rectangular Aviator Sunglasses Premium Glass Lens Flat Metal Sun Glasses Men Women,469 ratings,3.8 out of 5,₹375.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
18,Awestuffs Unisex Sunglasses,"2,867 ratings",3.8 out of 5,"₹13,273.99",Amazon Delivered,In stock.,"Tuesday, Nov 2"
19,Creature Black & Green Sunglasses Combo with UV Protection (Lens-Black & Green||Frame-Black & Green||SUN-001-003),17 ratings,4.6 out of 5,"₹14,434.99",10 Days Returns,In stock.,"Sunday, Oct 24"
20,HOBIE POLARIZED SNOOK SUNGLASSES,4 ratings,4.1 out of 5,₹429.00,Amazon Delivered,Only 3 left in stock.,Nov 9 - 16
21,Havoc Polarized Sunglasses,"1,684 ratings",3.8 out of 5,"₹1,999.00",Amazon Delivered,Only 3 left in stock.,Nov 9 - 16
22,Estillarse Rectangular Sunglasses (Blue),603 ratings,4 out of 5,"₹1,499.00",Amazon Delivered,Only 4 left in stock.,"Wednesday, Oct 27"
23,Estillarse Rectangular Sunglasses (Red),197 ratings,3.4 out of 5,₹719.00,Amazon Delivered,Only 1 left in stock.,"Wednesday, Oct 27"
24,CareME UV Protection Sunglasses CM-SN-BL-29,344 ratings,3.8 out of 5,₹799.00,Amazon Delivered,Only 1 left in stock.,"Saturday, Oct 30"
25,Cabbana Aviator Sunglasses,351 ratings,4.2 out of 5,₹809.00,10 Days Returns,In stock.,"Sunday, Oct 31"
26,Cabbana Aviator Sunglass,433 ratings,3.8 out of 5,"₹1,169.00",10 Days Returns,In stock.,"Sunday, Oct 31"
27,GREY JACK Polarized Classic Aviator Shaped Sunglasses Lightweight Style for Men Women Medium Size 110102,86 ratings,4 out of 5,₹599.00,10 Days Returns,In stock.,"Thursday, Oct 28"
28,GREY JACK Classic Clubmaster Half Frame Sunglasses Fashion Eyeglasses for Men Women Ladies,648 ratings,3.9 out of 5,₹343.00,10 Days Returns,In stock.,"Wednesday, Oct 27"
29,grey jack Oversized Sports Polarized Sunglasses for Men Women TR90 Outdoors UV400 Protected 2208,4 ratings,4.7 out of 5,₹467.00,10 Days Returns,In stock.,"Wednesday, Oct 27"
30,GREY JACK Square Polarized Sunglasses for Men and Women Metal Frame S1811,337 ratings,4.1 out of 5,₹342.00,10 Days Returns,In stock.,"Thursday, Oct 28"
31,Fastrack UV Protected Square Men's Sunglasses - (P424GR3|53|Green Color Lens),"1,424 ratings",4.2 out of 5,₹735.00,10 Days Returns,In stock.,"Thursday, Oct 28"
32,"CREEK Unisex Octagonal Sunglasses/Frame for Men & Women - Black/Pink/Yellow/Blue Combo, Pack of 4, Free Size",81 ratings,4.2 out of 5,₹371.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
33,Fastrack Men Square Sunglasses Black Frame Green Lens Medium,45 ratings,4.1 out of 5,₹385.00,10 Days Returns,In stock.,"Friday, Oct 29"
34,ELEGANTE Men's Round Sunglasses,60 ratings,5 out of 5,₹749.00,10 Days Returns,Only 4 left in stock.,"Tuesday, Oct 26"
35,Vincent Chase by Lenskart | Wayfarer Stylish Sunglasses | Polarized & UV Protected | For Men & Women | Medium | LA S13159,"1,339 ratings",3.3 out of 5,₹349.00,10 Days Returns,In stock.,"Monday, Oct 25"
36,Fastrack Men Square Sunglasses Blue Frame Black Lens Large,161 ratings,4.1 out of 5,₹349.00,10 Days Returns,In stock.,Oct 25 - 29
37,ROZIOR® Italy Classic UV400 Mirror Sunlight Kids Sunglasses,"1,843 ratings",3.6 out of 5,₹223.00,Amazon Delivered,In stock.,"Monday, Oct 25"
38,Intellilens® 100% UV Protected HD Vision Road Rider Polarised Sunglasses For Riding Driving Travelling Sports and Outdoors,729 ratings,3.6 out of 5,₹408.00,Amazon Delivered,In stock.,"Sunday, Oct 24"
39,Eyvyn HD Vision Day and Night Unisex HD Vision Goggles Anti-Glare Polarized Sunglasses Men/Women Driving Glasses Sun Glasses UV Protection All Bikes & Car,203 ratings,3.6 out of 5,₹413.00,10 Days Returns,In stock.,"Friday, Oct 29"
40,Prifix HD Vision Day and Night Unisex HD Vision Goggles Anti-Glare Polarized Sunglasses Men/Women Driving Glasses Sun Glasses UV Protection All Bikes & Car - Pack of 2 Goggles,163 ratings,3.3 out of 5,₹378.00,Amazon Delivered,In stock.,"Friday, Oct 29"
41,"ROYAL SON Unisex Stylish Oval Sunglasses/Goggles Combo (Black, Brown and Clear, Medium)",5 ratings,5 out of 5,₹255.00,10 Days Returns,In stock.,"Thursday, Oct 28"
42,"PUTHAK Combo Pack of 3 Stylish Dial Watch, Stylish Sport Baseball Cap & Stylish Aviator Wayfarer Sunglass for Men's and Boy's (Pack of 3) PTHK-1749",87 ratings,3.3 out of 5,₹545.00,10 Days Returns,In stock.,"Thursday, Oct 28"
43,Fastrack Men Square Sunglasses Black Frame Green Lens Large (Product code-P449GR1TV),59 ratings,3.7 out of 5,₹290.00,10 Days Returns,In stock.,"Friday, Oct 29"
44,NuVew Unisex Combo Pack of 5 Aviator Sunglasses (Multi-color | Free Size | UV Protection),483 ratings,4 out of 5,₹428.00,10 Days Returns,,"Tuesday, Oct 26"
45,Lorenz Analogue Black Dial Men's Watch & Wayfarer Sunglasses Combo for Men |Gift Combo Set for Men & Boys (CM-103SN),664 ratings,3.8 out of 5,₹499.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
46,Ray-Ban Unisex UV Protected Sunglasses ( 0RB3025I|58 mm|Crystal Gray-Green),"1,341 ratings",4.1 out of 5,₹385.00,10 Days Returns,In stock.,"Tuesday, Oct 26"
47,Dervin Aviator Men's and Women's Sunglasses Combo (Multi-Coloured) - Pack of 8,329 ratings,3.8 out of 5,₹458.00,10 Days Returns,In stock.,"Thursday, Oct 28"
