,Rank,Name,Net Worth,Age,Source,Category
0,1.,Jeff Bezos,$177 B,57,Amazon,Technology
1,2.,Elon Musk,$151 B,49,"Tesla, SpaceX",Automotive
2,3.,Bernard Arnault & family,$150 B,72,LVMH,Fashion & Retail
3,4.,Bill Gates,$124 B,65,Microsoft,Technology
4,5.,Mark Zuckerberg,$97 B,36,Facebook,Technology
5,6.,Warren Buffett,$96 B,90,Berkshire Hathaway,Finance & Investments
6,7.,Larry Ellison,$93 B,76,software,Technology
7,8.,Larry Page,$91.5 B,48,Google,Technology
8,9.,Sergey Brin,$89 B,47,Google,Technology
9,10.,Mukesh Ambani,$84.5 B,63,diversified,Diversified
10,11.,Amancio Ortega,$77 B,85,Zara,Fashion & Retail
11,12.,Francoise Bettencourt Meyers & family,$73.6 B,67,L'Oréal,Fashion & Retail
12,13.,Zhong Shanshan,$68.9 B,66,"beverages, pharmaceuticals",Food & Beverage
13,14.,Steve Ballmer,$68.7 B,65,Microsoft,Technology
14,15.,Ma Huateng,$65.8 B,49,internet media,Technology
15,16.,Carlos Slim Helu & family,$62.8 B,81,telecom,Telecom
16,17.,Alice Walton,$61.8 B,71,Walmart,Fashion & Retail
17,18.,Jim Walton,$60.2 B,72,Walmart,Fashion & Retail
18,19.,Rob Walton,$59.5 B,76,Walmart,Fashion & Retail
19,20.,Michael Bloomberg,$59 B,79,Bloomberg LP,Media & Entertainment
20,21.,Colin Zheng Huang,$55.3 B,41,e-commerce,Technology
21,22.,MacKenzie Scott,$53 B,50,Amazon,Technology
22,23.,Daniel Gilbert,$51.9 B,59,Quicken Loans,Finance & Investments
23,24.,Gautam Adani & family,$50.5 B,58,"infrastructure, commodities",Diversified
24,25.,Phil Knight & family,$49.9 B,83,Nike,Fashion & Retail
25,26.,Jack Ma,$48.4 B,56,e-commerce,Technology
26,27.,Charles Koch,$46.4 B,85,Koch Industries,Diversified
27,27.,Julia Koch & family,$46.4 B,58,Koch Industries,Diversified
28,29.,Masayoshi Son,$45.4 B,63,"internet, telecom",Telecom
29,30.,Michael Dell,$45.1 B,56,Dell computers,Technology
30,31.,Tadashi Yanai & family,$44.1 B,72,fashion retail,Fashion & Retail
31,32.,François Pinault & family,$42.3 B,84,luxury goods,Fashion & Retail
32,33.,David Thomson & family,$41.8 B,63,media,Media & Entertainment
33,34.,Beate Heister & Karl Albrecht Jr.,$39.2 B,N/A,supermarkets,Fashion & Retail
34,35.,Wang Wei,$39 B,50,package delivery,Service
35,36.,Miriam Adelson,$38.2 B,75,casinos,Gambling & Casinos
36,37.,He Xiangjian,$37.7 B,78,home appliances,Manufacturing
37,38.,Dieter Schwarz,$36.9 B,81,retail,Fashion & Retail
38,39.,Zhang Yiming,$35.6 B,37,TikTok,Technology
39,40.,Giovanni Ferrero,$35.1 B,56,"Nutella, chocolates",Food & Beverage
40,41.,Alain Wertheimer,$34.5 B,72,Chanel,Fashion & Retail
41,41.,Gerard Wertheimer,$34.5 B,70,Chanel,Fashion & Retail
42,43.,Li Ka-shing,$33.7 B,92,diversified,Diversified
43,44.,Qin Yinglin & family,$33.5 B,55,pig breeding,Food & Beverage
44,45.,William Lei Ding,$33 B,49,online games,Technology
45,46.,Len Blavatnik,$32 B,63,"music, chemicals",Diversified
46,47.,Lee Shau Kee,$31.7 B,93,real estate,Real Estate
47,48.,Jacqueline Mars,$31.3 B,81,"candy, pet food",Food & Beverage
48,48.,John Mars,$31.3 B,85,"candy, pet food",Food & Beverage
49,50.,Yang Huiyan & family,$29.6 B,39,real estate,Real Estate
50,51.,Alexey Mordashov & family,$29.1 B,55,"steel, investments",Metals & Mining
51,52.,Robin Zeng,$28.4 B,52,batteries,Automotive
52,53.,Hui Ka Yan,$27.7 B,62,real estate,Real Estate
53,53.,Susanne Klatten,$27.7 B,58,"BMW, pharmaceuticals",Automotive
54,55.,Vladimir Potanin,$27 B,60,metals,Metals & Mining
55,56.,Dietrich Mateschitz,$26.9 B,76,Red Bull,Food & Beverage
56,57.,Pang Kang,$26.4 B,65,soy sauce,Food & Beverage
57,58.,Klaus-Michael Kuehne,$26.3 B,83,shipping,Logistics
58,59.,Vladimir Lisin,$26.2 B,64,"steel, transport",Metals & Mining
59,60.,Wang Xing,$26.1 B,42,e-commerce,Technology
60,61.,German Larrea Mota Velasco & family,$25.9 B,67,mining,Metals & Mining
61,62.,Leonardo Del Vecchio & family,$25.8 B,85,eyeglasses,Fashion & Retail
62,62.,Takemitsu Takizaki,$25.8 B,75,sensors,Manufacturing
63,64.,Leonard Lauder,$25.5 B,88,Estee Lauder,Fashion & Retail
64,65.,Thomas Peterffy,$25 B,76,discount brokerage,Finance & Investments
65,66.,Vagit Alekperov,$24.9 B,70,oil,Energy
66,66.,Leonid Mikhelson,$24.9 B,65,"gas, chemicals",Energy
67,68.,Jim Simons,$24.6 B,82,hedge funds,Finance & Investments
68,69.,Jiang Rensheng & family,$24.4 B,67,vaccines,Healthcare
69,70.,Gina Rinehart,$23.6 B,67,mining,Metals & Mining
70,71.,Rupert Murdoch & family,$23.5 B,90,"newspapers, TV network",Media & Entertainment
71,71.,Shiv Nadar,$23.5 B,75,software services,Technology
72,73.,Zhang Zhidong,$23.4 B,49,internet media,Technology
73,74.,Iris Fontbona & family,$23.3 B,78,mining,Metals & Mining
74,75.,Lei Jun,$23 B,51,smartphones,Technology
75,75.,Zhang Yong,$23 B,50,restaurants,Food & Beverage
76,77.,Richard Qiangdong Liu,$22.4 B,47,e-commerce,Technology
77,78.,Gennady Timchenko,$22 B,68,"oil, gas",Energy
78,79.,Stephen Schwarzman,$21.9 B,74,investments,Finance & Investments
79,80.,Goh Cheng Liang,$21.7 B,93,paints,Manufacturing
80,81.,Stefan Quandt,$21.6 B,54,BMW,Automotive
81,82.,Li Xiting,$21.5 B,70,medical devices,Healthcare
82,83.,Pierre Omidyar,$21.4 B,53,"eBay, PayPal",Technology
