,Brand/Name/Color,RAM/ROM,Front/Back Camera,Battery Capacity,Size/Resolution Display,Processor/processor Cores,Price,URL
0,"realme C21Y (Cross Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor,"₹9,999",https://www.flipkart.com/realme-c21y-cross-black-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKQVSRBYGJ&lid=LSTMOBG5ZGKQVSRBYGJZUGRLX&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG5ZGKQVSRBYGJ.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
1,"realme C21Y (Cross Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor,"₹9,999",https://www.flipkart.com/realme-c21y-cross-blue-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKRUBBZFBR&lid=LSTMOBG5ZGKRUBBZFBRXORTMH&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG5ZGKRUBBZFBR.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
2,"realme C21Y (Cross Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor,"₹8,999",https://www.flipkart.com/realme-c21y-cross-blue-32-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKXCGFB9HP&lid=LSTMOBG5ZGKXCGFB9HP72DW1X&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG5ZGKXCGFB9HP.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
3,"realme Narzo 50A (Oxygen Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G85 Processor,"₹11,499",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYYI8WMJQ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG6MY4UGGFQWYY.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
4,"APPLE iPhone 12 (White, 128 GB)",128 GB ROM,12MP + 12MP | 12MP Front Camera,--------,15.49 cm (6.1 inch) Super Retina XDR Display,A14 Bionic Chip with Next Generation Neural Engine Processor,"₹60,199",https://www.flipkart.com/apple-iphone-12-white-128-gb/p/itm95393f4c6cc59?pid=MOBFWBYZBTZFGJF9&lid=LSTMOBFWBYZBTZFGJF9AXUVLJ&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBFWBYZBTZFGJF9.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
5,"realme C11 2021 (Cool Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,"₹7,999",https://www.flipkart.com/realme-c11-2021-cool-blue-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDBHPYMT5B&lid=LSTMOBG5BCDBHPYMT5BR54QOY&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG5BCDBHPYMT5B.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
6,"realme Narzo 50A (Oxygen Blue, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G85 Processor,"₹12,499",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8WRSXX9&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG6MY4JGHHADW8.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
7,"realme Narzo 50A (Oxygen Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G85 Processor,"₹11,499",https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGG30GLXM&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG6MY4X6JDZMGG.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
8,"realme C11 2021 (Cool Grey, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,"₹7,999",https://www.flipkart.com/realme-c11-2021-cool-grey-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDJ68N57TH&lid=LSTMOBG5BCDJ68N57THWJHNPW&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG5BCDJ68N57TH.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
9,"realme Narzo 50A (Oxygen Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,50MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G85 Processor,"₹12,499",https://www.flipkart.com/realme-narzo-50a-oxygen-green-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4DNG9688H&lid=LSTMOBG6MY4DNG9688HDUZO0K&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG6MY4DNG9688H.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
10,"realme C11 2021 (Cool Grey, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,"₹6,599",https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZMUPPAI&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG4BEGX8QYNKGZ.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
11,"POCO M3 (Cool Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,48MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,16.59 cm (6.53 inch) Full HD+ Display,Qualcomm Snapdragon 662 Processor,"₹11,499",https://www.flipkart.com/poco-m3-cool-blue-64-gb/p/itmc8ec867cb0472?pid=MOBFZTCUDDCTDN3G&lid=LSTMOBFZTCUDDCTDN3GJBLKQ8&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBFZTCUDDCTDN3G.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
