,Name,Short Des,Price,Discount
0,Chevit,Combo Pack of 4 Casual Sneakers With Sneakers For Men,₹554,72% off
1,Chevit,Speed Set of 5 Pairs Sneakers Outdoors Casuals for Men ...,₹799,67% off
2,BRUTON,Modern Trendy Sneakers Shoes Sneakers For Men,₹359,72% off
3,D-SNEAKERZ,"Casual , Partywear Sneakers Shoes For Men's And Boys Wh...",₹348,47% off
4,Magnolia,Sneakers For Men,₹398,60% off
5,BRUTON,Combo Pack Of 4 Casual Shoes Loafer Shoes Sneakers For ...,₹474,86% off
6,Robbie jones,Casual Sneakers Shoes For Men Sneakers For Men,₹399,60% off
7,PUMA,Caven Sneakers For Men,"₹2,749",50% off
8,BIRDE,Birde Trendy Casual Shoes Sneakers For Men,₹399,20% off
9,Numenzo,411 Casual Sneakers For Men,₹499,75% off
10,India hub,Sneakers For Men,₹499,83% off
11,PUMA,Ferrari Future Cat Ultra Sneakers For Men,"₹2,719",66% off
12,bluemaker,casual for men Sneakers For Men,₹499,50% off
13,Numenzo,White Sneaker For Men Sneakers For Men,₹449,65% off
14,luxury fashion,luxury fashionable casual snealer shoes Sneakers For Me...,₹399,69% off
15,PUMA,Urban SL Sneakers For Men,"₹1,452",61% off
16,BIRDE,Men's Stylish Casual Shoes Sneakers For Men,₹399,20% off
17,ASTEROID,Original Luxury Branded Fashionable Men's Casual Walkin...,₹499,75% off
18,Kraasa,Series 7 Sneakers For Men,₹499,50% off
19,BRUTON,Sneakers For Men,₹499,80% off
20,BRUTON,Lattest Sneakers Shoe Sneakers For Men,₹341,73% off
21,believe,Sneakers for men(black_6) Sneakers For Men,₹449,55% off
22,HOTSTYLE,Sneakers For Men,₹282,71% off
23,PUMA,Rebound Street v2 L Sneakers For Men,"₹2,749",45% off
24,Edoeviv,Luxury Branded Fashionable Men's Casual Walking Partywe...,₹499,37% off
25,Robbie jones,Sneakers For Men,₹499,50% off
26,Numenzo,Sneakers For Men,₹429,57% off
27,BRUTON,Combo Pack of 2 Lattest Collection Stylish Casual Loafe...,₹499,80% off
28,ESSENCE,Sneakers For Men,₹449,55% off
29,Robbie jones,Sneakers For Men,₹499,50% off
30,HRX by Hrithik Roshan,Sneakers For Men,"₹3,999",no discount
31,BRUTON,Combo Pack Of 3 Latest Casual Shoes Sneakers For Men,₹499,83% off
32,Robbie jones,Sneakers For Men,₹499,50% off
33,PROVOGUE,Sneakers For Men,"₹1,799",no discount
34,SCATCHITE,Sneakers Sneakers For Men,₹398,60% off
35,Paragon,Sneakers For Men,₹569,40% off
36,Chevit,168 Smart Red Lace-Ups Casuals for Men Sneakers For Men,₹249,50% off
37,Chevit,Perfect & Affordable Combo Pack of 02 Pairs Sneakers Ou...,₹498,72% off
38,Zsyto,Sneakers For Men,₹418,58% off
39,BRUTON,Combo Pack of 2 Casual Sneakers For Men,₹499,80% off
40,BRUTON,Combo Pack Of 2 Latest Stylish Casual Shoes for Men Lac...,₹592,76% off
41,bluemaker,casual for men (beige 06) Sneakers For Men,₹499,50% off
42,SPARX,SM-322 Sneakers For Men,₹828,17% off
43,Chevit,Combo Pack of 4 Casual Sneakers With Sneakers For Men,₹554,72% off
44,Allen Solly,Sneakers For Men,"₹2,499",no discount
45,Numenzo,Numenzo Black Sneaker For Men Sneakers For Men,₹469,63% off
46,PUMA,Perforated Low IDP Sneakers For Men,"₹2,306",42% off
47,Chevit,Speed Set of 5 Pairs Sneakers Outdoors Casuals for Men ...,₹799,67% off
48,luxury fashion,Luxury Fashionable casual shoes Sneakers For Men,₹449,65% off
49,BIRDE,Combo Pack of 2 Casual Shoes Sneakers For Men,₹525,47% off
50,SPARX,Men White Sneakers Sneakers For Men,₹666,11% off
51,PUMA,Caven Sneakers For Men,"₹2,749",50% off
52,Shoes Bank,White Sneaker For Men's/Boy's Sneakers For Men,₹348,65% off
53,Qtsy,Stylish Design Sneakers Shoes Combo For Men & Boys - Pa...,₹395,50% off
54,Chevit,171 Smart Tan Lace-Ups Casuals for Men Sneakers For Men,₹249,50% off
55,PUMA,Ferrari Future Cat Ultra Sneakers For Men,"₹2,719",66% off
56,RODDICK SHOES,Fashion Outdoor Canvas Casual Light Weight Lace-up Even...,₹474,52% off
57,BIRDE,Combo Pack of 2 Casual Shoes Sneakers For Men,₹525,47% off
58,NAUTICA,Sneakers For Men,"₹5,299",no discount
59,PUMA,Urban SL Sneakers For Men,"₹1,452",61% off
60,SPARX,SM-175 Sneakers For Men,₹737,18% off
61,Nilatin,Sneakers For Men,₹439,66% off
62,bluemaker,casual shoe for men Sneakers For Men,₹499,50% off
63,BRUTON,Sneakers For Men,₹499,80% off
64,Airland,shoe Sneakers For Men,₹257,48% off
65,HOTSTYLE,Sneakers For Men,₹198,60% off
