,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
1,Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8,1995
3,Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996
5,Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,
7,Anonymous Microsoft Web Data,,Recommender-Systems,Categorical,37711,294,1998
9,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998
11,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992
13,Audiology (Original),Multivariate,Classification,Categorical,226,,1987
15,Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992
17,Auto MPG,Multivariate,Regression,"Categorical, Real",398,8,1993
19,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26,1987
21,Badges,"Univariate, Text",Classification,,294,1,1994
23,Balance Scale,Multivariate,Classification,Categorical,625,4,1994
25,Balloons,Multivariate,Classification,Categorical,16,4,
27,Breast Cancer,Multivariate,Classification,Categorical,286,9,1988
29,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10,1992
31,Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198,34,1995
33,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32,1995
35,Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13,1990
37,Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997
39,Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996
41,Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator",Classification,"Categorical, Integer",,22,1988
43,Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36,1989
45,Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994
47,Chess (Domain Theories),Domain-Theory,,,,,
49,Bach Chorales,"Univariate, Time-Series",,"Categorical, Integer",100,6,
51,Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995
53,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,
55,Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,,1992
57,Computer Hardware,Multivariate,Regression,Integer,209,9,1987
59,Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997
61,Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998
63,Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995
65,Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,1998
67,Diabetes,"Multivariate, Time-Series",,"Categorical, Integer",,20,
69,DGP2 - The Second Data Generation Program,Data-Generator,,Real,,,
71,Document Understanding,,,,,,1994
73,EBL Domain Theories,,,,,,
75,Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,1989
77,Ecoli,Multivariate,Classification,Real,336,8,1996
79,Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990
81,Function Finding,,Function-Learning,Real,352,,1990
83,Glass Identification,Multivariate,Classification,Real,214,10,1987
85,Haberman's Survival,Multivariate,Classification,Integer,306,3,1999
87,Hayes-Roth,Multivariate,Classification,Categorical,160,5,1989
89,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75,1988
91,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988
93,Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989
95,ICU,"Multivariate, Time-Series",,Real,,,
97,Image Segmentation,Multivariate,Classification,Real,2310,19,1990
99,Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558,1998
101,Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1989
103,Iris,Multivariate,Classification,Real,150,4,1988
