,Name,Year Span,Time and genere,Rating,Votes
0,Game of Thrones,(2011–2019),"['57 min', 'Action, Adventure, Drama']",9.2,"1,894,496"
1,Stranger Things,(2016– ),"['51 min', 'Drama, Fantasy, Horror']",8.7,"925,804"
2,The Walking Dead,(2010–2022),"['44 min', 'Drama, Horror, Thriller']",8.2,"910,210"
3,13 Reasons Why,(2017–2020),"['60 min', 'Drama, Mystery, Thriller']",7.5,"272,379"
4,The 100,(2014–2020),"['43 min', 'Drama, Mystery, Sci-Fi']",7.6,"232,769"
5,Orange Is the New Black,(2013–2019),"['59 min', 'Comedy, Crime, Drama']",8,"288,352"
6,Riverdale,(2017– ),"['45 min', 'Crime, Drama, Mystery']",6.7,"131,930"
7,Grey's Anatomy,(2005– ),"['41 min', 'Drama, Romance']",7.5,"277,420"
8,The Flash,(2014– ),"['43 min', 'Action, Adventure, Drama']",7.6,"326,585"
9,Arrow,(2012–2020),"['42 min', 'Action, Adventure, Crime']",7.5,"418,979"
10,Money Heist,(2017–2021),"['70 min', 'Action, Crime, Drama']",8.2,"399,528"
11,The Big Bang Theory,(2007–2019),"['22 min', 'Comedy, Romance']",8.1,"756,301"
12,Black Mirror,(2011– ),"['60 min', 'Drama, Sci-Fi, Thriller']",8.8,"485,437"
13,Sherlock,(2010–2017),"['88 min', 'Crime, Drama, Mystery']",9.1,"856,874"
14,Vikings,(2013–2020),"['44 min', 'Action, Adventure, Drama']",8.5,"475,404"
15,Pretty Little Liars,(2010–2017),"['44 min', 'Drama, Mystery, Romance']",7.4,"158,423"
16,The Vampire Diaries,(2009–2017),"['43 min', 'Drama, Fantasy, Horror']",7.7,"299,624"
17,American Horror Story,(2011– ),"['60 min', 'Drama, Horror, Thriller']",8,"298,887"
18,Breaking Bad,(2008–2013),"['49 min', 'Crime, Drama, Thriller']",9.4,"1,601,977"
19,Lucifer,(2016–2021),"['42 min', 'Crime, Drama, Fantasy']",8.1,"292,314"
20,Supernatural,(2005–2020),"['44 min', 'Drama, Fantasy, Horror']",8.4,"412,929"
21,Prison Break,(2005–2017),"['44 min', 'Action, Crime, Drama']",8.3,"501,339"
22,How to Get Away with Murder,(2014–2020),"['43 min', 'Crime, Drama, Mystery']",8.1,"140,209"
23,Teen Wolf,(2011–2017),"['41 min', 'Action, Drama, Fantasy']",7.6,"136,873"
24,The Simpsons,(1989– ),"['22 min', 'Animation, Comedy']",8.6,"383,080"
25,Once Upon a Time,(2011–2018),"['60 min', 'Adventure, Fantasy, Romance']",7.7,"215,439"
26,Narcos,(2015–2017),"['49 min', 'Biography, Crime, Drama']",8.8,"385,525"
27,Daredevil,(2015–2018),"['54 min', 'Action, Crime, Drama']",8.6,"383,488"
28,Friends,(1994–2004),"['22 min', 'Comedy, Romance']",8.8,"908,452"
29,How I Met Your Mother,(2005–2014),"['22 min', 'Comedy, Romance']",8.3,"637,484"
30,Suits,(2011–2019),"['44 min', 'Comedy, Drama']",8.4,"381,879"
31,Mr. Robot,(2015–2019),"['49 min', 'Crime, Drama, Thriller']",8.5,"356,913"
32,The Originals,(2013–2018),"['45 min', 'Drama, Fantasy, Horror']",8.2,"125,811"
33,Supergirl,(2015–2021),"['43 min', 'Action, Adventure, Drama']",6.2,"118,235"
34,Gossip Girl,(2007– ),"['42 min', 'Drama, Romance']",7.4,"163,266"
35,Sense8,(2015–2018),"['60 min', 'Drama, Mystery, Sci-Fi']",8.3,"146,646"
36,Gotham,(2014–2019),"['42 min', 'Action, Crime, Drama']",7.8,"219,530"
37,Westworld,(2016– ),"['62 min', 'Drama, Mystery, Sci-Fi']",8.6,"455,034"
38,Jessica Jones,(2015–2019),"['56 min', 'Action, Crime, Drama']",7.9,"201,400"
39,Modern Family,(2009–2020),"['22 min', 'Comedy, Drama, Romance']",8.4,"390,316"
40,Rick and Morty,(2013– ),"['23 min', 'Animation, Adventure, Comedy']",9.2,"440,217"
41,Shadowhunters,(2016–2019),"['42 min', 'Action, Drama, Fantasy']",6.6,"57,940"
42,The End of the F***ing World,(2017–2019),"['25 min', 'Adventure, Comedy, Crime']",8.1,"165,470"
43,House of Cards,(2013–2018),"['51 min', 'Drama']",8.7,"482,908"
44,Dark,(2017–2020),"['60 min', 'Crime, Drama, Mystery']",8.8,"328,001"
45,Elite,(2018– ),"['60 min', 'Crime, Drama, Thriller']",7.4,"64,564"
46,Sex Education,(2019– ),"['45 min', 'Comedy, Drama']",8.3,"229,177"
47,Shameless,(2011–2021),"['46 min', 'Comedy, Drama']",8.5,"219,503"
48,New Girl,(2011–2018),"['22 min', 'Comedy']",7.7,"206,165"
49,Agents of S.H.I.E.L.D.,(2013–2020),"['45 min', 'Action, Adventure, Drama']",7.5,"208,291"
50,You,(2018– ),"['45 min', 'Crime, Drama, Romance']",7.7,"193,974"
51,Dexter,(2006–2013),"['53 min', 'Crime, Drama, Mystery']",8.6,"681,546"
52,Fear the Walking Dead,(2015– ),"['44 min', 'Drama, Horror, Sci-Fi']",6.9,"121,411"
53,Family Guy,(1999– ),"['22 min', 'Animation, Comedy']",8.1,"317,678"
54,The Blacklist,(2013– ),"['43 min', 'Crime, Drama, Mystery']",8,"222,340"
55,Lost,(2004–2010),"['44 min', 'Adventure, Drama, Fantasy']",8.3,"522,108"
56,Peaky Blinders,(2014– ),"['60 min', 'Crime, Drama']",8.8,"421,205"
57,House,(2004–2012),"['44 min', 'Drama, Mystery']",8.7,"433,987"
58,Quantico,(2015–2018),"['42 min', 'Crime, Drama, Mystery']",6.7,"59,036"
