,No.,Video name,Uploader,Views (billions),Upload date
0,1.,"""Baby Shark Dance""[23]",Pinkfong Baby Shark - Kids' Songs & Stories,9.54,"June 17, 2016"
1,2.,"""Despacito""[25]",Luis Fonsi,7.60,"January 12, 2017"
2,3.,"""Johny Johny Yes Papa""[26]",LooLoo Kids,5.84,"October 8, 2016"
3,4.,"""Shape of You""[27]",Ed Sheeran,5.50,"January 30, 2017"
4,5.,"""See You Again""[28]",Wiz Khalifa,5.30,"April 6, 2015"
5,6.,"""Bath Song""[31]",Cocomelon – Nursery Rhymes,4.58,"May 2, 2018"
6,7.,"""Learning Colors – Colorful Eggs on a Farm""[32]",Miroshka TV,4.53,"February 27, 2018"
7,8.,"""Masha and the Bear – Recipe for Disaster""[33]",Get Movies,4.46,"January 31, 2012"
8,9.,"""Uptown Funk""[34]",Mark Ronson,4.34,"November 19, 2014"
9,10.,"""Phonics Song with Two Words""[35]",ChuChu TV,4.25,"March 6, 2014"
10,11.,"""Gangnam Style""[36]",Psy,4.23,"July 15, 2012"
11,12.,"""Dame Tu Cosita""[38]",El Chombo,3.66,"April 5, 2018"
12,13.,"""Sugar""[39]",Maroon 5,3.58,"January 14, 2015"
13,14.,"""Sorry""[40]",Justin Bieber,3.48,"October 22, 2015"
14,15.,"""Roar""[41]",Katy Perry,3.46,"September 5, 2013"
15,16.,"""Counting Stars""[42]",OneRepublic,3.43,"May 31, 2013"
16,17.,"""Thinking Out Loud""[43]",Ed Sheeran,3.35,"October 7, 2014"
17,18.,"""Wheels on the Bus""[44]",Cocomelon – Nursery Rhymes,3.32,"May 24, 2018"
18,19.,"""Faded""[45]",Alan Walker,3.17,"December 3, 2015"
19,20.,"""Dark Horse""[46]",Katy Perry,3.17,"February 20, 2014"
20,21.,"""Girls Like You""[47]",Maroon 5,3.16,"May 31, 2018"
21,22.,"""Lean On""[48]",Major Lazer,3.11,"March 22, 2015"
22,23.,"""Bailando""[49]",Enrique Iglesias,3.11,"April 11, 2014"
23,24.,"""Shake It Off""[50]",Taylor Swift,3.11,"August 18, 2014"
24,25.,"""Let Her Go""[51]",Passenger,3.10,"July 25, 2012"
25,26.,"""Axel F""[52]",Crazy Frog,3.07,"June 16, 2009"
26,27.,"""Mi Gente""[53]",J Balvin,2.99,"June 29, 2017"
27,28.,"""Perfect""[54]",Ed Sheeran,2.99,"November 9, 2017"
28,29.,"""Waka Waka (This Time for Africa)""[55]",Shakira,2.98,"June 4, 2010"
29,30.,"""Hello""[56]",Adele,2.90,"October 22, 2015"
